,title,desc,link,Title
0,"Governo anuncia corte no imposto de importacao de arroz, feijao, carne e outros itens","Medida inclui 87% dos bens hoje submetidos a essa tributacao, diz ministerio. Reducao tenta baratear importacoes e reduzir escalada de precos no pais.",https://g1.globo.com/economia/noticia/2022/05/23/governo-anuncia-corte-no-imposto-de-importacao-de-arroz-feijao-carne-e-outros-itens.ghtml,economia/agronegocios
1,Caminhos sustentaveis: setores do agro apostam em praticas amigas do meio ambiente e alavancam economia,"Ao alinhar tecnologia com inovacao, o agronegocio de Mato Grosso do Sul desponta com praticas que se preocupam socioambientalmente e garantem um futuro promissor para as novas geracoes. Adotar condutas mais sustentaveis deixa de ser opcao e passa a ser realidade para a conservacao. ",https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2022/05/23/caminhos-sustentaveis-setores-do-agro-apostam-em-praticas-amigas-do-meio-ambiente-e-alavancam-economia.ghtml,economia/agronegocios
2,Projeto incentiva agricultura familiar e preservacao de sementes crioulas em Juiz de Fora,"Acao e uma parceria do Jardim Botanico da Universidade Federal de Juiz de Fora (UFJF) e a Secretaria de Agricultura, Pecuaria e Abastecimento.",https://g1.globo.com/mg/zona-da-mata/noticia/2022/05/22/projeto-incentiva-agricultura-familiar-e-preservacao-de-sementes-crioulas-em-juiz-de-fora.ghtml,economia/agronegocios
3,"Entenda o que sao barraginhas, um jeito barato e simples para guardar agua da chuva","Tecnica e famosa no municipio Atilio Vivacqua, no Espirito Santo. Dependendo do tamanho, cada buraco pode segurar de 200 a 400 mil litros.",https://g1.globo.com/economia/agronegocios/globo-rural/noticia/2022/05/22/entenda-o-que-sao-barraginhas-um-jeito-barato-e-simples-para-guardar-agua-da-chuva.ghtml,economia/agronegocios
4,Terra em que vive comunidade quilombola sera leiloada para pagar divida de ex-prefeito no Maranhao,"Na area moram familias que se autodeclaram descendentes quilombolas. Ex-prefeito de Porto Rico, Luiz Henrique Diniz Fonseca alega ser o dono das terras.",https://g1.globo.com/economia/agronegocios/globo-rural/noticia/2022/05/22/terra-em-que-vive-comunidade-quilombola-e-leiloada-para-pagar-divida-de-ex-prefeito-no-maranhao.ghtml,economia/agronegocios
0,Por que cientistas estao congelando animais de especies ameacadas,"Crise de biodiversidade ameaca 1 milhao de especies de plantas e animais de extincao, segundo a ONU.",https://g1.globo.com/ciencia/noticia/2022/05/23/por-que-cientistas-estao-congelando-animais-de-especies-ameacadas.ghtml,ciencia/
1,"Quem e Tulio de Oliveira, pesquisador brasileiro na lista dos 100 mais influentes da revista Time",Pesquisador ganhou destaque ao chefiar uma das equipes envolvidas na descoberta da variante omicron do coronavirus na Africa do Sul.,https://g1.globo.com/saude/noticia/2022/05/23/tulio-de-oliveira-revista-time.ghtml,ciencia/
2,Como a mineracao de asteroides pode atender demanda da Terra por recursos,"Alem de serem cada vez mais essenciais para criar telefones, laptops e carros, alguns metais como a platina tambem serao necessarios para ajudar a produzir hidrogenio a medida que fazemos a transicao para uma energia mais verde.",https://g1.globo.com/ciencia/noticia/2022/05/22/como-a-mineracao-de-asteroides-pode-atender-demanda-da-terra-por-recursos.ghtml,ciencia/
3,Pesquisa da UFV pode ajudar na descoberta de novo medicamento para tratamento da Covid-19,"A descoberta esta em fase de registro de patente. Veja o objetivo do estudo, como ele foi feito e os empasses. ",https://g1.globo.com/mg/zona-da-mata/noticia/2022/05/22/pesquisa-da-ufv-pode-ajudar-na-descoberta-de-novo-medicamento-para-tratamento-da-covid-19.ghtml,ciencia/
4,"Quem sao os imortalistas, que pretendem romper os limites da longevidade",Livro conta como bilionarios e cientistas se uniram numa corrida para driblar a morte,https://g1.globo.com/bemestar/blog/longevidade-modo-de-usar/post/2022/05/22/quem-sao-os-imortalistas-que-pretendem-romper-os-limites-da-longevidade.ghtml,ciencia/
